text,clean_text,label,label_name
I am still waiting on my card?,i am still waiting on my card,3,11
What can I do if my card still hasn't arrived after 2 weeks?,what can i do if my card still hasn't arrived after 2 weeks,3,11
I have been waiting over a week. Is the card still coming?,i have been waiting over a week is the card still coming,3,11
Can I track my card while it is in the process of delivery?,can i track my card while it is in the process of delivery,3,11
"How do I know if I will get my card, or if it is lost?",how do i know if i will get my card or if it is lost,3,11
When did you send me my new card?,when did you send me my new card,3,11
Do you have info about the card on delivery?,do you have info about the card on delivery,3,11
What do I do if I still have not received my new card?,what do i do if i still have not received my new card,3,11
Does the package with my card have tracking?,does the package with my card have tracking,3,11
I ordered my card but it still isn't here,i ordered my card but it still isn't here,3,11
Why has my new card still not come?,why has my new card still not come,3,11
"I still haven't received my card after two weeks, is it lost?",i still haven't received my card after two weeks is it lost,3,11
Can you track my card for me?,can you track my card for me,3,11
Is there a way to track the delivery of my card?,is there a way to track the delivery of my card,3,11
It's been a week since I ordered my card and it's not here. Please help?,it's been a week since i ordered my card and it's not here please help,3,11
Will I be able to track the card that was sent to me?,will i be able to track the card that was sent to me,3,11
I don't have my card in 1 week.  Should I be worried?,i don't have my card in 1 week should i be worried,3,11
How do I know when my new card is going to arrive?,how do i know when my new card is going to arrive,3,11
My new card has not been delivered to my home yet. What is going on?,my new card has not been delivered to my home yet what is going on,3,11
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,it's been a week since you issued me a card and i still didn't get it should i keep waiting,3,11
"On the card that is coming, what's the tracking info?",on the card that is coming what's the tracking info,3,11
What is the status of my card's delivery?,what is the status of my card's delivery,3,11
Have you sent out my card yet?,have you sent out my card yet,3,11
My card isn't here yet.,my card isn't here yet,3,11
where is my new card?,where is my new card,3,11
It's been a week since you sent my card and I still don't have it.,it's been a week since you sent my card and i still don't have it,3,11
How do I track the card you sent me?,how do i track the card you sent me,3,11
When will I recieve my new card?,when will i recieve my new card,3,11
When will I get my new card?,when will i get my new card,3,11
What is the expected delivery date for my card?,what is the expected delivery date for my card,3,11
Is there a tracking number for the card you sent me?,is there a tracking number for the card you sent me,3,11
I would like to track the card you sent to me.,i would like to track the card you sent to me,3,11
Has my card been lost in delivery?,has my card been lost in delivery,3,11
My new card hasn't came in.,my new card hasn't came in,3,11
Where is the card I ordered 2 weeks ago?,where is the card i ordered 2 weeks ago,3,11
Can I get an update on my replacement card?,can i get an update on my replacement card,3,11
How long does it take for a new card to ship?,how long does it take for a new card to ship,3,11
What's the tracking on the card you sent?,what's the tracking on the card you sent,3,11
I haven't received my card and am worried it is lost.,i haven't received my card and am worried it is lost,3,11
My card still hasn't been delivered,my card still hasn't been delivered,3,11
I need to find out where the card is that I ordered.,i need to find out where the card is that i ordered,3,11
Where is my credit card that was to be mailed?,where is my credit card that was to be mailed,3,11
I ordered my card but it hasn't been delivered yet,i ordered my card but it hasn't been delivered yet,3,11
Am I able to track the card that was just sent to me?,am i able to track the card that was just sent to me,3,11
Can you tell me why I haven't received my new card?,can you tell me why i haven't received my new card,3,11
I'm still waiting for my new card.,i'm still waiting for my new card,3,11
Is my card lost? I am still waiting for it to be delivered.,is my card lost i am still waiting for it to be delivered,3,11
Should I keep waiting for my card to be delivered?,should i keep waiting for my card to be delivered,3,11
Can I track when my card will be delivered?,can i track when my card will be delivered,3,11
How can I check on the status of my new card?,how can i check on the status of my new card,3,11
"A card has been sent to me, how do I track it?",a card has been sent to me how do i track it,3,11
Is there a way I can get my card expedited?,is there a way i can get my card expedited,3,11
What can I do to track the card you sent me?,what can i do to track the card you sent me,3,11
why hasnt my card come in yet?,why hasnt my card come in yet,3,11
How can I periodically check the delivery of the card you sent?,how can i periodically check the delivery of the card you sent,3,11
What's the reason my new card hasn't come?,what's the reason my new card hasn't come,3,11
How long does it take for me to get my new card?,how long does it take for me to get my new card,3,11
I don't have my card after 1 week. What are my next steps?,i don't have my card after 1 week what are my next steps,3,11
I know I'm getting a new card but would like know when I can expect to receive it.,i know i'm getting a new card but would like know when i can expect to receive it,3,11
I want to find out what happened to my new card?,i want to find out what happened to my new card,3,11
Was there a way for me to get tracking for that?,was there a way for me to get tracking for that,3,11
I am still waiting for my card.,i am still waiting for my card,3,11
My card hasn't arrived.,my card hasn't arrived,3,11
Can I track the card you sent to me?,can i track the card you sent to me,3,11
I haven't gotten my new card.,i haven't gotten my new card,3,11
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,how long should it take for my new card to arrive in them mail what should i do if i never receive it,3,11
Will I have to wait much longer for my new card to arrive?,will i have to wait much longer for my new card to arrive,3,11
how to track the card you sent,how to track the card you sent,3,11
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,2 weeks ago i ordered my new card it isn't here what should i do,3,11
How can I check on the delivery status of my card?,how can i check on the delivery status of my card,3,11
"My card has not been delivered yet and its been a week since I ordered it, please help",my card has not been delivered yet and its been a week since i ordered it please help,3,11
What's the expected wait time to recieve my new card?,what's the expected wait time to recieve my new card,3,11
How can I see the progress of delivery of the card that was sent?,how can i see the progress of delivery of the card that was sent,3,11
"My card was supposed to arrive, but hasn't?",my card was supposed to arrive but hasn't,3,11
I ordered a card and would like to know how to track the delivery progress of it.,i ordered a card and would like to know how to track the delivery progress of it,3,11
How long will it take for me to get my card?,how long will it take for me to get my card,3,11
My card hasn't shown up yet.,my card hasn't shown up yet,3,11
Does the card you sent have a tracking number?,does the card you sent have a tracking number,3,11
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,my card hasn't arrived in the mail yet i ordered it two weeks ago what can i do,3,11
maximum how many days get the courier?,maximum how many days get the courier,3,11
Is there a reason my new card hasn't arrived yet?,is there a reason my new card hasn't arrived yet,3,11
"I've been waiting a while for my card, is there a way to know when it will arrive?",i've been waiting a while for my card is there a way to know when it will arrive,3,11
How can I track my card's delivery?,how can i track my card's delivery,3,11
Can I track the card that was just sent to me?,can i track the card that was just sent to me,3,11
"If I ordered my new card last week, how much longer should I wait to receive it?",if i ordered my new card last week how much longer should i wait to receive it,3,11
"What's go on, where is my new card?",what's go on where is my new card,3,11
Where is my new card if I haven't received it yet?,where is my new card if i haven't received it yet,3,11
Where is my card?,where is my card,3,11
Can you tell me why I haven't received my new card yet?,can you tell me why i haven't received my new card yet,3,11
Is there a way to track my card?,is there a way to track my card,3,11
Is there a way to track the new card you sent me?,is there a way to track the new card you sent me,3,11
I'm still waiting for my card.,i'm still waiting for my card,3,11
What do I need to do to get my new card which I have requested 2 weeks ago?,what do i need to do to get my new card which i have requested 2 weeks ago,3,11
WHAT IS THE SOLUTION OF THIS PROBLEM,what is the solution of this problem,3,11
Could I get tracking on the card?,could i get tracking on the card,3,11
Can you help me track my card?,can you help me track my card,3,11
Shouldn't my new card be here by now?,shouldn't my new card be here by now,3,11
Is there a reason my new card hasn't arrived?,is there a reason my new card hasn't arrived,3,11
"I would like to track a card sent to me, how do I do that?",i would like to track a card sent to me how do i do that,3,11
Is there a tracking number for the card?,is there a tracking number for the card,3,11
can you share card tracking number?,can you share card tracking number,3,11
"I have not received my card and it's been a week, what do I do?",i have not received my card and it's been a week what do i do,3,11
Is there a way I can check on the card on route to me?,is there a way i can check on the card on route to me,3,11
When will my new card arrive?,when will my new card arrive,3,11
Why haven't I received my new card yet?,why haven't i received my new card yet,3,11
What is the expected delivery date of my card?,what is the expected delivery date of my card,3,11
My card hasn't came in the mail yet?,my card hasn't came in the mail yet,3,11
I haven't received my card.,i haven't received my card,3,11
Is it possible for me to track the card is was mailed to me?,is it possible for me to track the card is was mailed to me,3,11
When will my new card be delivered?,when will my new card be delivered,3,11
I was issued a card about a week ago. why hasn't it come in yet?,i was issued a card about a week ago why hasn't it come in yet,3,11
Can you please tell me where my card is? I ordered it 2 weeks ago!,can you please tell me where my card is i ordered it 2 weeks ago,3,11
I still haven't received my card in the mail,i still haven't received my card in the mail,3,11
I'm still waiting for my card that was issued a week ago. What should I do?,i'm still waiting for my card that was issued a week ago what should i do,3,11
I still haven't gotten my new card.  When will it get here?,i still haven't gotten my new card when will it get here,3,11
Do you have a tracking number for the card I was sent?,do you have a tracking number for the card i was sent,3,11
How do I track the card you sent to me?,how do i track the card you sent to me,3,11
Is my new bank card on the way and is there a way to track it?,is my new bank card on the way and is there a way to track it,3,11
Could you send me and up date on the arrival of my card?,could you send me and up date on the arrival of my card,3,11
How long does it take to recieve my new card?,how long does it take to recieve my new card,3,11
My card has not come in the mail yet.,my card has not come in the mail yet,3,11
What's the card you sent me's tracking number?,what's the card you sent me's tracking number,3,11
i havent got my card,i havent got my card,3,11
Why hasn't my card arrived yet?,why hasn't my card arrived yet,3,11
I thought I would have received my new card at this point.,i thought i would have received my new card at this point,3,11
How long until my new card gets here?,how long until my new card gets here,3,11
How much longer until I get my new card?,how much longer until i get my new card,3,11
Am I able to track a card that has already been sent?,am i able to track a card that has already been sent,3,11
Is it possible to track the card you sent me?,is it possible to track the card you sent me,3,11
How long will it be to get this new card?,how long will it be to get this new card,3,11
how can i track card you sent,how can i track card you sent,3,11
Can the card was sen to me be tracked?,can the card was sen to me be tracked,3,11
why have i not got my new card?,why have i not got my new card,3,11
I need to track the card sent to me.,i need to track the card sent to me,3,11
"It's been two weeks and I haven't gotten my card, what do I do?",it's been two weeks and i haven't gotten my card what do i do,3,11
I was expecting my new card by now.,i was expecting my new card by now,3,11
Where is the tracking number for the card?,where is the tracking number for the card,3,11
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,i was issued a new card a week ago but still haven't received it how long will it be until i receive it,3,11
Can I track the card that you sent me in the mail?,can i track the card that you sent me in the mail,3,11
Can you tell me if I can track the card you sent me?,can you tell me if i can track the card you sent me,3,11
Why have I not gotten my new card?,why have i not gotten my new card,3,11
I'm still waiting on my new card to be delivered!,i'm still waiting on my new card to be delivered,3,11
My new card isn't here and it was issued a week ago.,my new card isn't here and it was issued a week ago,3,11
"I was supposed to receive my new card by now, but it hasn't came in.",i was supposed to receive my new card by now but it hasn't came in,3,11
Is a tracking number available for the card that was just sent?,is a tracking number available for the card that was just sent,3,11
Why haven't I gotten my new card?,why haven't i gotten my new card,3,11
Was there a number to track that I could get?,was there a number to track that i could get,3,11
How much longer is it going to take to get my new card?,how much longer is it going to take to get my new card,3,11
I haven't gotten my credit card in the mail.,i haven't gotten my credit card in the mail,3,11
My card hasn't arrived yet. What do I do?,my card hasn't arrived yet what do i do,3,11
"My card still hasn't arrived after two weeks, now what?",my card still hasn't arrived after two weeks now what,3,11
My card appears to have never arrived?,my card appears to have never arrived,3,11
My card never arrived.,my card never arrived,3,11
My card has been found. Is there any way for me to put it back into the app?,my card has been found is there any way for me to put it back into the app,5,13
I was able to find my card. How to I go about putting it into my app?,i was able to find my card how to i go about putting it into my app,5,13
how do I get my card to show in the app?,how do i get my card to show in the app,5,13
I just got my card.  It's not linked yet--how do I do that?,i just got my card it's not linked yet how do i do that,5,13
